"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik","LogLik",
2000,4.2598742178773,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00451887084969,0.000418545884481,27.8841893255735,1660,0.833929919617401,0.971267218753099,0.824111928707262,2.54910622378149E-05,0.4,4,1.54458649003089,17.1024123600153,0.333333333333333,57610.4821759128,56.6749647512783,3.93552246790852,331.428569114129,13.686267462781,154.611506445621,0.659628626761256,7.14277129137389,0.126174291769794,21.4633182514097,7358.96042415419,0.000558483342738,0.998218194487461,-8579.36784390845,-8579.376163,-0.00831909155022
2000,4.29602749035261,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004377621762785,0.000430485800221,32.56778520573,1660,0.860210212230303,0.94799378407025,0.788574455946407,2.04907222867044E-05,0.4,4,1.73686304527024,17.0442921647565,0.333333333333333,59.536719967177,10.9788641407306,0.428629171685224,369.269562404466,0.495738133050764,331.583014678234,4.50397919669451,2.24496611301098,5866.16383993143,14.0354799322137,23525.4557259571,0.000860273505519,0.9976498594479,-8577.94833355139,-8577.87742,0.070913551389822
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.57915714598667,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004607081747667,0.000436375942643,11.2128751443354,1660,0.834553900717425,0.98296842809247,0.777264172966347,6.28220345411237E-05,0.4,4,0.98795184493659,17.1307769675849,0.333333333333333,18543.7098050863,334.117851166471,0.420841549429422,292.789666792793,5.40380448431297,161.560893245543,0.014103236013818,5.31163501465165,1026.43266952394,35804.1978572868,21302.3838373193,7.05265864006877E-06,0.999972945557781,-8578.22765412324,-8578.18542,0.042234123240633
2000,4.06916597440418,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004306085395135,0.000418739117293,34.3384809352747,1660,0.836391825989554,0.901428598674321,0.906977675046635,1.86194757517874E-05,0.4,4,1.11884037261635,16.9673066321167,0.333333333333333,65503.4272259469,4132.2290861126,1.50422444277525,284.612081985314,9.01132990991644,165.807571404682,1.96640106350043,5.28254885116935,1491.61882614428,2809.09633102085,55.2785300750455,0.002272842386305,0.991164667956762,-8581.97297064099,-8581.956512,0.016458640990095
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.16952890042349,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004260390730338,0.00042355186681,22.3272073785607,1660,0.83586753177535,0.883452581017901,0.904455862333842,2.72423617713493E-05,0.4,4,1.11073993685989,16.9236177041342,0.333333333333333,1187.09944244647,5316.67013056043,1.04664720032721,270.018220214197,16.4709014278225,175.863000389434,2.46659933073711,8.13244446076832,303.386688832522,137348.10054989,53110.5860176067,0.000102965488461,0.999610608249278,-8579.58533296366,-8579.612791,-0.027458036340249
2000,4.57479183178578,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004515045499627,0.000429059027806,31.0768043896607,1660,0.849059300022142,0.887905719893071,0.903259850648887,2.04114819793632E-05,0.4,4,1.13306234225721,17.0366604357369,0.333333333333333,16233.2273333549,91.1325472031442,0.869362546466864,226.847870300869,649.127209407015,214.493442909281,1.40499548026036,7.51713586249438,325.850677586475,289847.920653377,28687.1823872041,0.000133691931991,0.999198636097885,-8586.04198042825,-8586.032979,0.009001428250485
2000,4.31128462385091,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004453816921007,0.00043128501639,33.8979823389292,1660,0.903498368194482,0.761009470070279,0.921815116677612,1.74127767070216E-05,0.4,4,1.02358994496286,17.1117458552334,0.333333333333333,359749.725187454,138.012476113931,0.634133304196796,324.388866946059,6.85036177912493,322.369783539677,2.52789931964297,8.26417933121125,776.547604728862,122456.502939932,10498.0444790456,0.000228075032511,0.998848452673779,-8581.79578012624,-8581.770976,0.024804126240269
2000,3.3245161687829,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003766501723085,0.000435811460098,30.4214707366626,1660,0.829179409575718,0.878386379503488,0.947071331168942,2.08575654682788E-05,0.4,4,0.993936795087949,17.1346466530062,0.333333333333333,324152.499864299,5269.92673058573,1.97061550779319,282.164596412546,2.29480342606687,168.432222019084,1.56921936008137,0.220574244220323,567.332501986464,56880.5665686985,25.9085663264534,0.000249463788953,0.998797587971899,-8579.74037053866,-8579.723453,0.016917538659982
2000,4.73242727115261,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004420048543157,0.000432266683061,16.4172571046837,1660,0.860621259592315,0.913270461258903,0.886581758907651,3.94926195292811E-05,0.4,4,0.968425685091218,17.048424067018,0.333333333333333,104007.054310387,154.163852671166,2.38411797343795,286.730047484288,8.52095343587755,166.093024879943,1.49986225365448,6.55272404209845,446.9866152366,151615.737688418,16090.7370553836,0.000115434624078,0.999363348066157,-8582.45260392263,-8582.476217,-0.023613077370101
2000,4.63912847334898,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006237483504665,0.000349664820696,13.7372598554346,1660,0.751154518036089,0.877740189476933,0.952356102930273,3.87274618415264E-05,0.4,4,0.866026853178573,16.8640256755116,0.333333333333333,242156.764550772,173.777163446695,2.23010647123542,368.309539630082,0.80780079801227,18.6183152165303,1.79309570952732,7.22125428818567,715.237787050888,104918.916475419,16778.2321109656,9.72112703791992E-05,0.99848255610726,-8582.18427073965,-8582.154946,0.029324739649383
2000,4.38654224603605,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006331560242163,0.000345115451761,12.2271368087098,1660,0.753633287055451,0.892591764587023,0.929974850878324,3.88654895941525E-05,0.4,4,0.875256051571034,17.0436492056319,0.333333333333333,172954.984663176,165.214315360462,3.09687931752024,378.391135514873,14.3263411174259,24.7104764273044,2.30438907116192,6.30467914294061,476.923355515903,183548.226226703,37177.8793938154,8.13465633696474E-05,0.99911039765346,-8581.81399873256,-8581.724434,0.089564732559666
2000,4.31039138237125,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004428055672027,0.000435811460098,22.7179978615385,1660,0.836491059383443,0.994407846875328,0.782167372884379,3.08931410069699E-05,0.4,4,0.996178875919396,17.130483650262,0.333333333333333,4805.02098037513,294.291111407025,0.412328777890728,287.061195692174,3.27494731458768,224.521073722264,93.4903797009298,4.25271160066102,54.1985068881502,42415.0146412445,75253.6965071428,0.000487208342144,0.998589723056974,-8580.96550356368,-8580.862711,0.10279256368085
2000,4.67449685657212,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004603601844137,0.000435203315775,13.1219035765559,1660,0.823617970383766,0.92732513806997,0.871532692713264,4.9426768442731E-05,0.4,4,3.70783958598535,17.1410311455578,0.333333333333333,21353.9736212319,283.534912241877,1.03707808580855,91.8676248406184,2.98161428417984,154.340645477873,3.11958357080523,8.71151987903294,603.156540648656,82948.6851517188,4432.66979503158,0.000263542220672,0.999224400259431,-8577.01557502381,-8576.972188,0.043387023810283
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.5541101462812,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004434377855389,0.000504226014673,28.8710750484277,1660,0.845112390575245,0.879769700401038,0.701279847592557,2.50879156717339E-05,0.4,4,0.944622634748905,17.0264623596695,0.333333333333333,4048.11792126673,944.049352715943,2.07537078294312,290.684243303696,0.244660132481367,243.303540002253,2.98491763686729,2.00431452341005,616.709439422565,13.7634185548811,14.0072064980217,1.56118184272251E-05,0.999765685212329,-8579.31971039946,-8579.272856,0.046854399461154
2000,4.40180130362379,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00629413306625,0.000345973133927,15.6700100456013,1660,0.770611411265143,0.969354937137794,0.845525843096972,3.57164809698936E-05,0.4,4,1.04826867925906,17.2061118505976,0.333333333333333,25524.3055971307,129.567144947764,316.901155858574,346.047988678132,18.0225840192798,24.3780232878061,1.17841498073112,7.83220338269371,411.95314452637,180668.604223349,48082.3349174352,4.7298153060596E-05,0.999015695984351,-8581.8879961842,-8581.84487,0.043126184198627
2000,4.67117182983315,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006112281722086,0.000351823141124,16.9996019145275,1660,0.789738796561242,0.97122926169893,0.86232598464256,3.24791413200756E-05,0.4,4,1.01081664387122,17.1209551308614,0.333333333333333,212891.309752034,95.2549244733874,2.49334200838832,352.388618260905,16.9229380751881,5.37193032848887,4.43093788857392,5.09401360376212,415.179898035934,166062.944995952,33600.5422035918,8.58467236865194E-06,0.999709557307559,-8584.166581809,-8584.110631,0.055950809000933
2000,4.42575052341657,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005823455800505,0.000354110603098,23.7411903060549,1660,0.823921671634573,0.849367579189626,0.936641841913176,1.77E-05,0.4,4,0.997995121241872,17.1248148370364,0.333333333333333,39724.9961574287,128.366915009639,2.4408902175363,349.421647807292,1.091022511129,159.051999448212,110.773276419151,7.31996452797799,931.703947277664,61785.3790930929,18103.9464248972,8.16058352769244E-05,0.999382689460876,-8585.7945285615,-8585.745924,0.048604561499815
2000,4.76425968387443,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004633705735586,0.000425004136393,27.2563314295153,1660,0.843249296037703,0.870029994575178,0.910789484026272,1.98873041424009E-05,0.4,4,1.0820874712974,23.5276278583523,0.333333333333333,3638.53144022402,188.680840975959,0.809281505579332,261.98213984194,11.7387510812359,168.717576527724,137.98887438053,0.005690498852263,485.073790194779,63744.0497004362,37132.1170179041,0.000167914571011,0.999094436695547,"NA","NaN","#VALUE!"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21073.2587710815,"NaN","#VALUE!"
2000,4.59390216669847,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.006262984659457,0.000351512907895,13.4277409781691,1660,0.76671208154308,0.914009407304696,0.920410273741182,4.05733976680688E-05,0.4,4,1.0014743757043,17.152321215695,0.333333333333333,2.22175795570846,793.121962752258,0.710146150099198,347.601984748956,20.7620829813271,29.4822689893376,43.3345998267687,0.713758278766727,692.664057767597,127264.71545419,6985.40164424229,0.000160081983614,0.99852874512841,-8582.73043743014,-8582.643468,0.086969430140016
2000,4.62830455396012,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004672453987701,0.000430597724823,19.9211658198113,1660,0.83054810609365,0.940175561731054,0.846613800035022,3.43344986763568E-05,0.4,4,1.03091662319468,17.1324829833594,0.333333333333333,1799.75543867926,92.6943668689397,0.443128595879968,348.142108154429,15.4513210752541,134.709324163605,5.05349906676797,1.26612042123478,1593.15719212454,2079.04109006497,169.250957556216,0.000127503170479,0.999072168297216,-8582.05420020411,-8582.003501,0.05069920411006
2000,4.60625103908061,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.004395110704576,0.0004350913597,30.1439915545542,1660,0.836759999884703,0.982848847244126,0.899782418920329,2.38759552642674E-05,0.4,4,0.988113981427596,17.1217035208853,0.333333333333333,46495.8247693643,78.3320336766003,0.245892891163438,286.134280812189,2.4625496168547,173.485396817777,3.14977258526643,91.2764916676143,618.192263452347,61999.233187432,26512.4877793969,0.000123738495996,0.999354901671541,-8590.68620552996,-8590.68317,0.003035529960471
