"p","omega","delta","mu_e","mu_ql","mu_el","mu_qn","mu_en","mu_qa","mu_ea","mu_h","beta_nh","beta_hl","beta_hn","lambda_l","lambda_n","lambda_a","alpha","f_l","f_n","f_a","kappa","c","Tf","obsprob","T_min_l","gamma","E0","QL0","EL_s0","EL_i0","QN_s0","QN_i0","EN_s0","EN_i0","QA_s0","QA_i0","EA0","H_s0","H_i0","LogLik"
2000,343.152474972809,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.011100244348911,0.01289623993329,0.000331303453318,0.90629384767132,0.999973211144377,0.47163330377513,0.677213751763081,2.53287086181385E-05,0.753089599913343,4,0.027159780792122,13.2126229198906,0.034535239179148,148346.746806162,0.032348716488858,0.001783099543985,1781.97482828148,0.032254894443129,0.57370445596247,0.001220697098073,1.08795640391011E-07,6.70006890863035E-06,1.0499473864007,787.968837575822,0.999646588040022,0.000135982391292,-8572.256663
2000,93.042259849829,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.007783295948475,0.013890004674193,0.000248503195837,35.6568223041066,0.975340635148397,0.911920725229573,0.448242701653292,3.48560672300494E-06,0.256489422971948,4,0.000544658277051,7.78448688855267,0.173909937112859,673.211054720939,3.58194317102186,0.005506852534231,30.8785898102701,4510.16515757856,19.8974635285554,6.99888998445018,203.4847907997,748.389913315305,345.347061138379,1329.62351705974,0.504453670585555,0.014703180148323,-8573.458341
2000,61.8838868789998,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.037270629051029,0.024876767972759,0.000360444437863,0.135399778662154,0.475421505917801,0.614786686592382,0.501544166158966,1.36216179280184E-05,0.1536328237925,4,0.590031821387269,13.1991615327995,0.519358451511933,34.836448280102,925.374475436873,0.883091594264698,188.192646644689,161.764559697418,34.7100691403525,0.331207508184616,2.32938371734135,1.01298247227917,1.4070943665478,2440213274.18992,4.06144163815944E-07,0.999984512989596,-8575.029913
2000,5.65699751102993,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.284455951239313,0.000883547228434,0.000619977000832,0.103218802695738,0.994806251830739,0.769734316828191,0.326096295475526,6.32556446875044E-07,0.060437558487819,4,0.067113145697446,10.7591876896413,0.395230128651658,13.8924417337802,44620.3264215099,0.79299363955875,524.293665941748,318935.392741506,2.01843116614057,88692.0204143459,808.19235071094,50190.6431864004,1763.94660642344,3692.80214460694,0.001277486055329,0.934434057010334,-8577.519624
2000,47.4073576053763,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.013188406660185,0.085034414038347,0.000536983507041,18.0427342981545,0.296951353009413,0.999484941582623,0.659118191334826,2.105667717568E-05,0.327450249802769,4,0.000870441953433,13.2065889115218,0.412002244940008,0.863942481111453,982.118445368404,1.97889870664075,1156.10379101958,417.468460321876,166.909817206711,6.45882015861712,142.255977454527,15.6123794681162,52.331475138968,1.17416150812746E+017,0.023405180006417,0.822345511332177,-8577.611447
2000,30.7620544350404,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.009296806819561,0.02388055155371,0.000631866394524,0.256944521651342,0.214942021794342,0.89848258997872,0.89049600705625,0.000230798646492,0.212362457543256,4,0.259973944271335,8.4059067045482,0.239761608477502,0.735903862018652,21.1004275877483,62.4709230258876,35.7095242941074,1162.18233634905,92.2822299179542,28.4215032385118,12.5187867446249,908.750092911081,19.0327788697059,50.2302188597277,0.720326040464609,0.037128026041956,-8578.003142
2000,32.8053366202279,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.009661996428093,0.00920655903711,0.000368440444132,5.58212537564522,0.547946978707898,0.678311329220535,0.989568242377574,9.16859616255047E-06,0.165059502645165,4,0.016731585020096,0.007182107123774,0.604969322771808,5379.63195551322,0.09992623250796,6.54120973919251E-05,0.24658783245902,5.39418452043038,0.027782515268346,0.098127964282751,201.041845310833,3.08920315632482,0.018279763479117,16253.9091240835,0.021607689382046,0.962411226255052,-8578.680325
2000,73.3174128470342,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.00334079491596,0.016001827889995,0.000654507263559,30.37601113166,0.999997299964476,0.85820034840131,0.469261862328675,4.92077302001144E-05,0.231713445137569,4,0.002289564040107,7.89869957963565,0.195635123174333,1.82684342359559,0.647369974496936,1979.43728955852,90.9315166282612,0.321498678772097,43.222981664232,0.159158549104553,0.003003843171699,0.250569726890344,0.160149239995449,0.069130237392321,0.925582420025219,0.004498528458238,-8579.157225
2000,14.8876594549094,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.001802000385681,0.030576332170582,0.00036199573872,0.054109046238137,0.672098267724621,0.974614025198327,0.999882916532916,0.001060459642361,0.199287864793869,4,0.400900867033326,13.2157240646979,0.224133051023148,717401.962544688,1.12426626978885,1.3712395261141,86.9956974432884,0.006437446593912,0.004869416622437,1.58701215337746,6.51667903768554,0.17083846590787,1.9818334202534,130.794278150129,0.539713000080577,0.004977459421632,-8579.251466
2000,148.504319508211,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.002602330917432,1086.55519808338,0.000277652223712,44.0453120657962,0.99961529503918,0.579991853074347,0.762105467962752,17.554670981629,0.337653714614228,4,0.00317416170185,12.8787870706479,0.074369574046261,13.7974186779497,14.4872855758218,2.41145508846868,0.284857723152385,4.59198446986698,0.305236903483733,0.518246386553503,17.5799503743399,1.48925431088365,59.3942139925703,50.6493525538907,0.722833501929087,0.011726751447512,-8580.93705
2000,67.9817427804526,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.051829498253076,0.003939868647255,0.000275697389919,0.023671979251628,0.481185503349647,0.998312178411143,0.526432689907388,1.98273076723575E-07,0.508381701437105,4,0.213782246472753,2.33039598433822,0.139806650392075,1631379.86438426,1.25165622271764,0.005621596947824,30.997052670927,617.857489280382,0.384634330167226,1.07132595145336,2.04998211711349,514.128752110345,0.026841336813952,0.035363913891475,0.306340219664042,0.382105965881028,-8581.785998
2000,117.84529501791,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005722002366489,0.027909319935198,0.000349463149922,1.61519824583695,0.999981759359916,0.330123908282042,0.999999994378448,2.91312197523477E-05,0.372791555770614,4,0.022077805516761,13.1952673232502,0.08076052608378,1858.87069802134,1433.61415115482,0.047326990670389,456.237160708684,756.050363302026,12.8620138843841,0.010227635460092,0.207795163481882,0.137419424581369,1.81544491696469,0.23858243257229,0.857069780653979,0.056166540848956,-8582.246292
2000,47.5004214865518,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.003917928394561,0.009330951066084,0.000580493348645,7.35256638195086,0.795902653209104,0.852085050382587,0.529810141124453,0.000132086469905,0.147507762847366,4,0.015741772189009,8.20873781195954,0.245585513155399,231.583763194466,2.07732276966902,0.200030402983592,27.378043946795,3.47140712886794,0.00352108210567,0.493009617984112,152.514014374814,0.214671056636504,0.000148576736206,90665.3922889388,0.999546965222606,5.80461394204392E-06,-8582.290615
2000,369.509310592854,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.005107019028264,0.023141521604537,0.000976861636477,1.02204300910116,0.91158873997633,0.979660406963211,0.240815950766141,0.000163869468041,0.128733172733086,4,0.228852741878276,10.935351651238,0.048197855374656,0.542050988406537,304.769856760469,0.238946416891239,146.997304765794,1.60121157418811,0.080572179103569,0.159653207373,13.0428382518828,0.000233856998946,0.002013093123717,250.915398969288,0.935470761399932,0.024372916805765,-8583.015656
2000,88.4999011244804,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.01312465285415,0.017938405240064,0.000907171558784,2.2270998208236,0.61471977933831,0.217624251236795,0.60257261749993,1.23681324409265E-05,0.089602857138184,4,0.248122000897924,13.1447298797154,0.187368134928241,146089.499633214,0.012042763749901,0.000300525562298,0.003283470925246,0.092231624134161,203.201862853741,1.05075632079107,0.004707490542352,0.018139791702748,0.004246689589793,454254.458692172,3.52268410841848E-09,0.002486181726735,-8583.085506
2000,154.790888282185,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.01406515310411,0.028856869363553,0.000854606099129,3.76108319380123,0.618753936564234,0.814030576002625,0.246447621951507,7.50399794048456E-05,0.301354951888471,4,0.038322597047758,5.98562488957714,0.264281066057923,2255.27009696263,58.5069489471827,290.766341905564,25.6630812736877,0.155602055905785,102.354133979135,46.7028971342951,70.8727391055425,145.780044338916,104.559595584133,73.0548875823525,0.125966095824214,0.493472382179967,-8583.116469
2000,69.3063212143422,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.01246699812023,0.020097341320555,0.00054191758036,58.3195638444173,0.864019881816236,0.206027648169357,0.615740753713077,1.08073372103954E-05,0.059075987004884,4,0.007546405167268,7.61356897098499E-06,0.420198746967885,70.0523842711074,0.042784381076124,0.642374896616414,95.4198289871852,0.727104534059655,0.101721232102841,0.019676489378898,10.4617145933821,59.6330670398508,16.3119303936083,5006.70154707148,0.988518814603887,1.79017155433963E-05,-8583.204347
2000,26.6082116028372,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.012506734477886,0.008444792577579,0.000677276617794,17.4725049744287,0.217560257738063,0.669002396836434,0.945316389433944,2.18065549601006E-07,0.047503990060994,4,0.009978472422331,0.005306063761791,0.198632856536846,0.111190205005325,0.039143495427964,0.000563343217817,148.567161956734,0.000227919775566,14.7816861854529,0.107034893818418,41.3343787609247,0.229660670535097,0.013178308313557,0.027176089948096,0.999998426820324,3.03137042040278E-08,-8584.321006
2000,139.1054500402,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.008485184545973,0.029731199900141,0.000167949860756,27.6101191460394,0.477192064395751,0.706609404583848,0.861532359782949,2.32669162975423E-09,0.522640256771973,4,0.001389683962174,1.05622920647501E-06,0.083942300411914,20681.49943177,0.000467885656465,0.008035871542111,112.082963375372,0.041022453068421,0.028451482428867,2.70441906273973E-06,12.0192312927258,2.48329209171647,41.1878126323852,1479.9982015358,0.990175468152299,0.0008174193839,-8584.818765
2000,108.384943758859,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.002739726027397,0.9,0.8,0.8,0.034805083671375,0.00316598254667,0.000904352854249,0.170412156271569,0.667075949816011,0.698258761607944,0.543153299545944,1.01528585728504E-06,0.558801879137486,4,0.19510567845169,11.4218933493997,0.133852551800998,155954.468529412,6392.34523680808,466.86010415511,77.5318319829628,3.0814784297802,559.422041311304,223.561812098794,2.0643890238268,0.337088767291668,33.9504514291077,913.162672772485,0.098196020186162,0.004489642941114,-8585.28553
