p,omega,delta,mu_e,mu_ql,mu_el,mu_qn,mu_en,mu_qa,mu_ea,mu_h,beta_nh,beta_hl,beta_hn,lambda_l,lambda_n,lambda_a,alpha,f_l,f_n,f_a,kappa,c,Tf,obsprob,T_min_l,gamma,E0,QL0,EL_s0,EL_i0,QN_s0,QN_i0,EN_s0,EN_i0,QA_s0,QA_i0,EA0,H_s0,H_i0,LogLik
2000,70.68471142849369,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.0024245982550730183,0.00549562528024521,349.21797722059375,146531.27763672333,0.9849619952512486,0.20927773893272927,0.564580972551862,0.0000021788848679588505,0.4,4,0.9999318516940665,12.455803376392979,0.1168117231059311,30927.92180425632,271.585235540261,2.2749567068785383,1.6740818768490047,0.001556681536559621,1227.7804628387357,12.76350139051576,0.1056515720427926,0.0005631697315942757,78.82967486755659,2118.2495878267696,0.3718192456454096,0.3718192456454095,-1315.525429
2000,45.148328380706644,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.0012734391150109067,0.018316087850802184,0.0007926550426153498,0.347888049178684,0.9719989213504093,0.9996381692972927,0.9992936282323979,0.00006126683398217667,0.4,4,0.13417999229574584,13.012206453886462,0.1756216550587606,137.27692783557825,0.1298601790047877,246.06508531582668,95.39309662281391,94.54843517334982,38.03379547284019,69.59128032582701,0.17755031554495332,0.4156967325574762,19.58955462422171,11.68782614541433,0.3718192456454095,0.3718192456454096,-1327.849989
2000,70.57211644980059,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.007882719451430169,0.0021106669709801754,0.3616016994454566,31.277531108372827,0.9671479754239906,0.20536170667526832,0.3394275155824704,0.0016574402741321072,0.4,4,0.6530198520395778,9.353855620479084,0.13255035492207667,119.3158530092596,152.44864563476682,0.0007627409716886129,0.010556367331740098,0.280007390474221,2522.9739903405293,144.09833805757393,0.215615686518756,17.612101698519446,32.420174247985514,31.46211743840057,0.3718192456454095,0.3718192456454096,-1330.296776
2000,94.47028210179518,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.002441008326751682,0.00915229065412464,0.554406778634757,62.79001676969363,0.962056437106217,0.2607216616475725,0.395836561211122,0.0035534571940530227,0.4,4,0.8647826192600112,13.319388841840318,0.07980571116086684,1599.8454457106081,1950079.1469092357,76.80208134429998,96.2865984918442,26.84015764722815,13.90576736123052,1.724226640679952,20.542952833289178,49.69946054316412,10.39906421269624,45.02696981193462,0.3718192456454095,0.3718192456454096,-1330.298845
2000,137.64256954810813,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.005223946300873156,0.005036897874607808,0.3381556308146411,4.757988480396553,0.5477992647986483,0.3657743756797867,0.30405679319203616,0.0055921736100610926,0.4,4,0.7515485190643689,12.333787119831335,0.011407800847109732,19.097828860065576,14903860.375665497,282.0359013560514,11.301707774103726,29.17446261259663,0.745264597618435,16.532111836378228,579.5070501336102,99.8846181584669,172.98296430004348,170.0151068415654,0.3718192456454095,0.3718192456454096,-1331.592197
2000,29.693453441740306,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.030899055448597477,0.005008123858882972,0.40215132778093404,12.10432587884402,0.20605150628587332,0.4610979183658091,0.20322539592971017,0.005963060176782339,0.4,4,0.36487966604097866,0.00007039250976719672,0.21605880187346932,560.916277218462,2809.9012427390353,0.11709124710130472,454.9226975268039,12.03085543167552,1019.6661840870269,0.11596344557565652,0.02099017294743585,0.0821526062916863,301.40870831011614,1.208661094035027,0.3718192456454096,0.3718192456454095,-1335.084626
2000,11.268786818385891,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.0027996396327820434,0.005932950862585515,0.8589660590116127,87.76513458114457,0.19735088948762786,0.609828428429495,0.6794535887176993,0.004254112274019404,0.4,4,0.20387029493943143,7.385538340924857,0.23816155136090564,117.74212276832091,0.6175332647022683,0.1604055785092344,18204.791870424357,0.06408216920751408,234.52735208426375,7.492203668173896,1.3876269778680549e-7,6.2477195782690185,0.18159813156555207,13.135525466535567,0.3718192456454095,0.3718192456454096,-1336.142996
2000,50.63916578826543,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.006870315515589852,0.005114704256421881,0.0028586358286987064,0.8466838542410627,0.3318190973344083,0.7585019068599692,0.71578819519153,1.0265480887520455e-11,0.4,4,0.36262143882970893,9.621947171553606,0.16358336332853113,0.11037598572284996,0.000058839614588755535,540.8415273439866,501.4554621658246,73.06306199374932,10.915893349441383,0.03537977834943631,29.485392546828418,175.07102087525604,224.75658862121134,312.90771926741763,0.3718192456454096,0.3718192456454095,-1344.198249
2000,235.1476819011506,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.0016599960914630955,0.030476850135366548,0.0028782495093108316,19.715651559655022,0.9547380846958442,0.7570047033463139,0.44381347403001514,0.00025406734763087555,0.4,4,0.19957134928518178,10.878411285495751,0.04989233734812416,90.72011622343707,0.0010085113855019447,1.3566629800750334,60.593695706372394,0.0560329762538858,1.8024451077174122,74.26927792879015,0.9396547353792223,8.702580378227067,0.15494001572130997,67.2661479415511,0.3718192456454096,0.3718192456454095,-1345.669459
2000,23.96199928178266,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.02282925436415039,0.012011141487289342,0.7863513466687291,87.72487654688514,0.09834462189199955,0.2194802000943436,0.5524878105420582,0.002363307273041979,0.4,4,0.7069961324211532,0.000400044921892766,0.13843167395445052,394.42406598738205,264.7353835507815,0.0018921893018794815,6679.294537827143,0.8828201644255065,153.0357804887927,8.886453065993402,1.3210594779592484,4.556481441678584,56.532096829210445,77.62975688569003,0.3718192456454096,0.3718192456454095,-1346.29261
2000,46.23642699384321,0.5,0.02618,0.0068,0.001428,0.0034,0.000476,0.00136,0.000408,0.0027397260273972603,0.9,0.8,0.8,0.0059749339041397,0.13279468158590468,0.002968424550123137,1.2933062036910634,0.25295749597110995,0.9999994309213515,0.5632472617012017,0.0003164244699401151,0.4,4,0.3704715688344183,13.204812743575424,0.4409864337496786,301.0674822121486,27.347397504674166,40.10981751390429,253.74951035231342,0.3339546450417713,0.01849877618898308,0.10998619892034435,238.52380769431267,0.03146000990442543,0.11561609451318766,12508.726345265419,0.3718192456454095,0.3718192456454096,-1347.243322
