"","x"
"1",3864.848
"2",3826.302
"3",3788.141
"4",3750.36
"5",3712.956
"6",3675.926
"7",3639.264
"8",3602.968
"9",3567.034
"10",3531.459
"11",3496.238
"12",3461.369
"13",3426.847
"14",3392.67
"15",3358.834
"16",3318.811
"17",3267.109
"18",3202.528
"19",3120.855
"20",3022.494
"21",2908.614
"22",2779.513
"23",2623.98
"24",2441.56
"25",2237.463
"26",2017.863
"27",1795.478
"28",1580.754
"29",1376.636
"30",1185.549
"31",1012.917
"32",867.8137
"33",746.2495
"34",644.0735
"35",558.1896
"36",488.3707
"37",432.0035
"38",386.2442
"39",348.9309
"40",320.2397
"41",299.9813
"42",286.3933
"43",278.2316
"44",274.0078
"45",271.2156
"46",268.5109
"47",265.833
"48",263.1817
"49",260.5569
"50",257.9583
"51",255.3856
"52",252.8385
"53",250.3168
"54",247.8203
"55",245.3487
"56",242.9018
"57",240.4792
"58",238.0808
"59",235.7063
"60",233.3555
"61",231.0282
"62",228.7241
"63",226.4429
"64",224.1845
"65",221.9486
"66",219.735
"67",217.5353
"68",214.1543
"69",208.6932
"70",201.1992
"71",191.8909
"72",180.9613
"73",168.6545
"74",155.2977
"75",141.5689
"76",127.8296
"77",114.2986
"78",101.1772
"79",88.75963
"80",77.25619
"81",66.70756
"82",57.13214
"83",48.50358
"84",40.74864
"85",33.86463
"86",27.83426
"87",22.68235
"88",18.87446
"89",16.16705
"90",14.22811
"91",12.84196
"92",11.83608
"93",11.09736
"94",10.57336
"95",10.2268
"96",10.01861
"97",9.893972
"98",9.795307
"99",9.697617
"100",9.600899
"101",9.505145
"102",9.410347
"103",9.316494
"104",9.223577
"105",9.131586
"106",9.040513
"107",8.950349
"108",8.861083
"109",8.772708
"110",8.685215
"111",8.598594
"112",8.512836
"113",8.427935
"114",8.343879
"115",8.260663
"116",8.178276
"117",8.096711
"118",8.015959
"119",7.936013
"120",7.83481
"121",7.644892
"122",7.359488
"123",6.974842
"124",6.500689
"125",5.952428
"126",5.355065
"127",4.786619
"128",4.266791
"129",3.792739
"130",3.361697
"131",2.971237
"132",2.618855
"133",2.301779
"134",2.017336
"135",1.763336
"136",1.538198
"137",1.339149
"138",1.163538
"139",1.009985
"140",0.8859794
"141",0.7880468
"142",0.7103814
"143",0.6486849
"144",0.5994196
"145",0.5599603
"146",0.5286046
"147",0.5040403
"148",0.4865568
"149",0.4786851
"150",0.4739155
"151",0.469189
"152",0.4645096
"153",0.4598768
"154",0.4552903
"155",0.4507495
"156",0.446254
"157",0.4418033
"158",0.4373971
"159",0.4330347
"160",0.4287159
"161",0.4244401
"162",0.420207
"163",0.4160162
"164",0.4118671
"165",0.4077593
"166",0.4036926
"167",0.3996664
"168",0.3956804
"169",0.3912688
"170",0.3843776
"171",0.3761751
"172",0.3667197
"173",0.3560854
"174",0.3438694
"175",0.3287774
"176",0.3111048
"177",0.2913681
"178",0.2701513
"179",0.2484096
"180",0.2266453
"181",0.2051764
"182",0.1843125
"183",0.1643183
"184",0.1454678
"185",0.1280529
"186",0.1123116
"187",0.09869408
"188",0.08780658
"189",0.07918161
"190",0.07241091
"191",0.06720381
"192",0.06349546
"193",0.06093598
"194",0.0592159
"195",0.05810853
"196",0.05751103
"197",0.0571728
"198",0.05686137
"199",0.05650312
"200",0.05609197
"201",0.05558113
"202",0.05504176
"203",0.05449577
"204",0.05395285
"205",0.05341486
"206",0.05288213
"207",0.05235472
"208",0.05183256
"209",0.05131562
"210",0.05080383
"211",0.05029714
"212",0.04979551
"213",0.04929888
"214",0.0488072
"215",0.04832042
"216",0.04783851
"217",0.04736139
"218",0.04688904
"219",0.0464214
"220",0.04595842
"221",0.04550006
"222",0.04504627
"223",0.044597
"224",0.04403451
"225",0.04310158
"226",0.04182621
"227",0.04033419
"228",0.03870085
"229",0.03702098
"230",0.0354089
"231",0.0340168
"232",0.03290971
"233",0.03213729
"234",0.03175839
"235",0.03183691
"236",0.03258746
"237",0.03433083
"238",0.03750944
"239",0.04269636
"240",0.04986721
"241",0.05891695
"242",0.0698988
"243",0.08282752
"244",0.09719666
"245",0.112153
"246",0.1268417
"247",0.1403846
"248",0.1523063
"249",0.1626551
"250",0.1712193
"251",0.1778183
"252",0.1821712
"253",0.1834043
"254",0.182309
"255",0.1805161
"256",0.1787158
"257",0.1769334
"258",0.1751687
"259",0.1734217
"260",0.1716921
"261",0.1699797
"262",0.1682845
"263",0.1666061
"264",0.1649445
"265",0.1632994
"266",0.1616708
"267",0.1600584
"268",0.158462
"269",0.1568816
"270",0.155317
"271",0.153768
"272",0.1522344
"273",0.1507161
"274",0.1492129
"275",0.1477248
"276",0.1462514
"277",0.1443505
"278",0.1414839
"279",0.1379587
"280",0.1338381
"281",0.129378
"282",0.1250591
"283",0.1216334
"284",0.1194324
"285",0.1187463
"286",0.1199164
"287",0.1233226
"288",0.1287382
"289",0.1359487
"290",0.1449126
"291",0.1556859
"292",0.1686032
"293",0.1840962
