"","x"
"1",0.4019753
"2",0.3981562
"3",0.3943734
"4",0.3906266
"5",0.3869154
"6",0.3832394
"7",0.3795983
"8",0.3759919
"9",0.3724197
"10",0.3688814
"11",0.3653768
"12",0.3619054
"13",0.358467
"14",0.3550613
"15",0.3436062
"16",0.3313022
"17",0.3194389
"18",0.3152733
"19",0.6339148
"20",1.418356
"21",2.626026
"22",4.234126
"23",6.479526
"24",9.31796
"25",12.5788
"26",16.08623
"27",19.56266
"28",22.80342
"29",25.75589
"30",28.38193
"31",30.59752
"32",32.26181
"33",33.45557
"34",34.26157
"35",34.74331
"36",34.90982
"37",34.81362
"38",34.51234
"39",34.05106
"40",33.42245
"41",32.62322
"42",31.68536
"43",30.62796
"44",29.53125
"45",28.69746
"46",28.42481
"47",28.15475
"48",27.88726
"49",27.62231
"50",27.35988
"51",27.09994
"52",26.84247
"53",26.58745
"54",26.33485
"55",26.08465
"56",25.83682
"57",25.59136
"58",25.34822
"59",25.10739
"60",24.86885
"61",24.63258
"62",24.39855
"63",24.16675
"64",23.93715
"65",23.70973
"66",23.48447
"67",23.0108
"68",22.18682
"69",21.43044
"70",20.7847
"71",20.23564
"72",19.77071
"73",19.37612
"74",19.03623
"75",18.72612
"76",18.43255
"77",18.14741
"78",17.86376
"79",17.5728
"80",17.2687
"81",16.95055
"82",16.61819
"83",16.27267
"84",15.91626
"85",15.54944
"86",15.17309
"87",14.78701
"88",14.37924
"89",13.95511
"90",13.52279
"91",13.08767
"92",12.65449
"93",12.2264
"94",11.80433
"95",11.38868
"96",10.98134
"97",10.58812
"98",10.43208
"99",10.33297
"100",10.2348
"101",10.13756
"102",10.04125
"103",9.945847
"104",9.851354
"105",9.757759
"106",9.665053
"107",9.573228
"108",9.482275
"109",9.392187
"110",9.302954
"111",9.214569
"112",9.127024
"113",9.040311
"114",8.954421
"115",8.869347
"116",8.785082
"117",8.701617
"118",8.618946
"119",8.537059
"120",8.244135
"121",7.950799
"122",7.674936
"123",7.416444
"124",7.174112
"125",6.946512
"126",6.731802
"127",6.525038
"128",6.324712
"129",6.130685
"130",5.942837
"131",5.761034
"132",5.585153
"133",5.415091
"134",5.250742
"135",5.091944
"136",4.938444
"137",4.790111
"138",4.646812
"139",4.508215
"140",4.372113
"141",4.237873
"142",4.10556
"143",3.975213
"144",3.846962
"145",3.720905
"146",3.596988
"147",3.475132
"148",3.354496
"149",3.236473
"150",3.205724
"151",3.175268
"152",3.1451
"153",3.11522
"154",3.085623
"155",3.056307
"156",3.02727
"157",2.998509
"158",2.970021
"159",2.941803
"160",2.913854
"161",2.88617
"162",2.858749
"163",2.831589
"164",2.804687
"165",2.77804
"166",2.751647
"167",2.725504
"168",2.69961
"169",2.629881
"170",2.535709
"171",2.445026
"172",2.358514
"173",2.276194
"174",2.198322
"175",2.125933
"176",2.058982
"177",1.997379
"178",1.941144
"179",1.890128
"180",1.844731
"181",1.805785
"182",1.774426
"183",1.75217
"184",1.740869
"185",1.742651
"186",1.760082
"187",1.794399
"188",1.841829
"189",1.9028
"190",1.97874
"191",2.070778
"192",2.171974
"193",2.277541
"194",2.384502
"195",2.489364
"196",2.574423
"197",2.616966
"198",2.606883
"199",2.537114
"200",2.446264
"201",2.358668
"202",2.274208
"203",2.217769
"204",2.196698
"205",2.175828
"206",2.155156
"207",2.13468
"208",2.114399
"209",2.094311
"210",2.074413
"211",2.054705
"212",2.035184
"213",2.015848
"214",1.996696
"215",1.977726
"216",1.958936
"217",1.940325
"218",1.92189
"219",1.903631
"220",1.885545
"221",1.867631
"222",1.849887
"223",1.830501
"224",1.764954
"225",1.714083
"226",1.705896
"227",1.737069
"228",1.81273
"229",1.939618
"230",2.123607
"231",2.358061
"232",2.641905
"233",2.977537
"234",3.367318
"235",3.834556
"236",4.406894
"237",5.093639
"238",5.904493
"239",6.811933
"240",7.698524
"241",8.543276
"242",9.339728
"243",10.08045
"244",10.72595
"245",11.25655
"246",11.66378
"247",11.93929
"248",12.10413
"249",12.18213
"250",12.16877
"251",12.05945
"252",11.81385
"253",11.39814
"254",11.22646
"255",11.1198
"256",11.01415
"257",10.90951
"258",10.80586
"259",10.7032
"260",10.60151
"261",10.50079
"262",10.40102
"263",10.30221
"264",10.20433
"265",10.10738
"266",10.01135
"267",9.916237
"268",9.822026
"269",9.728709
"270",9.636279
"271",9.544728
"272",9.454046
"273",9.364225
"274",9.275258
"275",9.187137
"276",9.094155
"277",8.771621
"278",8.624728
"279",8.696183
"280",8.98527
"281",9.498769
"282",10.23621
"283",11.128
"284",12.1452
"285",13.27847
"286",14.51619
"287",15.76941
"288",16.95254
"289",18.06133
"290",19.09525
"291",20.06509
"292",21.00077
"293",21.90715
"294",22.78705
"295",23.62673
"296",24.24267
"297",24.58278
"298",24.65639
"299",24.47058
"300",24.13021
"301",23.73781
"302",23.29434
"303",22.80014
"304",22.23266
"305",21.52225
"306",20.75159
"307",20.05447
"308",19.86394
"309",19.67522
"310",19.48829
"311",19.30314
"312",19.11974
"313",18.93809
"314",18.75817
"315",18.57995
"316",18.40343
"317",18.22858
"318",18.0554
"319",17.88386
"320",17.71395
"321",17.54565
"322",17.37896
"323",17.21384
"324",17.0503
"325",16.88831
"326",16.72786
"327",16.56893
"328",16.41151
"329",16.25559
"330",15.71669
"331",15.27361
"332",15.19731
"333",15.48991
"334",16.13433
"335",16.96131
"336",17.90682
"337",18.95702
"338",20.09598
"339",21.25422
"340",22.36764
"341",23.42992
"342",24.43766
"343",25.38957
"344",26.28559
"345",27.12819
"346",27.92099
"347",28.65676
"348",29.21359
"349",29.56532
"350",29.72774
"351",29.71406
"352",29.48195
"353",28.98653
"354",28.23208
"355",27.25658
"356",26.44429
"357",26.19305
