"","x"
"1",12.57837
"2",12.45292
"3",12.32872
"4",12.20576
"5",12.08403
"6",11.96351
"7",11.8442
"8",11.72607
"9",11.60912
"10",11.49334
"11",11.37871
"12",11.26523
"13",11.15324
"14",11.04272
"15",10.93302
"16",10.80283
"17",10.63453
"18",10.42432
"19",10.15847
"20",9.838302
"21",9.467585
"22",9.047209
"23",8.540582
"24",7.946138
"25",7.280841
"26",6.564854
"27",5.839664
"28",5.139384
"29",4.473694
"30",3.850566
"31",3.287683
"32",2.814509
"33",2.418073
"34",2.084863
"35",1.804792
"36",1.577049
"37",1.393104
"38",1.243696
"39",1.121783
"40",1.027855
"41",0.9613713
"42",0.919324
"43",0.9271404
"44",1.118465
"45",1.510649
"46",1.892612
"47",2.088763
"48",2.067931
"49",2.047307
"50",2.026888
"51",2.006673
"52",1.98666
"53",1.966846
"54",1.94723
"55",1.927809
"56",1.908583
"57",1.889548
"58",1.870702
"59",1.852045
"60",1.833574
"61",1.815287
"62",1.797182
"63",1.779258
"64",1.761513
"65",1.743945
"66",1.837843
"67",1.962672
"68",2.004721
"69",1.975565
"70",1.911834
"71",1.825522
"72",1.721848
"73",1.604389
"74",1.476738
"75",1.345566
"76",1.214373
"77",1.085265
"78",0.9601726
"79",0.8419228
"80",0.7325482
"81",0.6324669
"82",0.5419013
"83",0.4606536
"84",0.3880663
"85",0.3242126
"86",0.2690478
"87",0.2231017
"88",0.1929973
"89",0.1773096
"90",0.1726788
"91",0.1766467
"92",0.1866725
"93",0.200951
"94",0.2189505
"95",0.2404123
"96",0.264781
"97",0.290543
"98",0.3155885
"99",0.3361675
"100",0.3328148
"101",0.3294955
"102",0.3262093
"103",0.3229559
"104",0.319735
"105",0.3165461
"106",0.3133891
"107",0.3102635
"108",0.3071691
"109",0.3041056
"110",0.3010727
"111",0.2980699
"112",0.2950972
"113",0.292154
"114",0.2892403
"115",0.2863556
"116",0.2834996
"117",0.2806722
"118",0.2783936
"119",0.2857588
"120",0.2915899
"121",0.2929617
"122",0.2897948
"123",0.2837996
"124",0.2765867
"125",0.2687587
"126",0.2606786
"127",0.2554869
"128",0.2530897
"129",0.2523216
"130",0.2522881
"131",0.2523602
"132",0.2520982
"133",0.251191
"134",0.2494548
"135",0.2468641
"136",0.2435703
"137",0.239602
"138",0.2350251
"139",0.2302005
"140",0.2278525
"141",0.2284532
"142",0.2318079
"143",0.2379564
"144",0.2469559
"145",0.2589438
"146",0.274129
"147",0.2924717
"148",0.3140413
"149",0.3397821
"150",0.3563199
"151",0.3527662
"152",0.3492479
"153",0.3457647
"154",0.3423163
"155",0.3389022
"156",0.3355222
"157",0.3321759
"158",0.328863
"159",0.3255831
"160",0.322336
"161",0.3191212
"162",0.3159385
"163",0.3127875
"164",0.3096679
"165",0.3065795
"166",0.3035218
"167",0.3004947
"168",0.304029
"169",0.3123954
"170",0.3179675
"171",0.3216361
"172",0.3234203
"173",0.3233581
"174",0.3217875
"175",0.326193
"176",0.3466026
"177",0.3872836
"178",0.4477917
"179",0.5249444
"180",0.6135435
"181",0.7089255
"182",0.8083832
"183",0.9116854
"184",1.021471
"185",1.142987
"186",1.282927
"187",1.453174
"188",1.673478
"189",1.947667
"190",2.277442
"191",2.664908
"192",3.127989
"193",3.668786
"194",4.283957
"195",4.97058
"196",5.756465
"197",6.658915
"198",7.656169
"199",8.721678
"200",9.826698
"201",10.88218
"202",11.8743
"203",12.79896
"204",13.65984
"205",14.19212
"206",14.05058
"207",13.91044
"208",13.77171
"209",13.63436
"210",13.49838
"211",13.36375
"212",13.23047
"213",13.09852
"214",12.96788
"215",12.83855
"216",12.71051
"217",12.58374
"218",12.45824
"219",12.33398
"220",12.21097
"221",12.08919
"222",12.04733
"223",12.3218
"224",12.53041
"225",12.57234
"226",12.45386
"227",12.23725
"228",11.96326
"229",11.66801
"230",11.38612
"231",11.17082
"232",11.04053
"233",10.99945
"234",11.04887
"235",11.14875
"236",11.26905
"237",11.41764
"238",11.59469
"239",11.86446
"240",12.3994
"241",13.14765
"242",14.05754
"243",15.09824
"244",16.30207
"245",17.6608
"246",19.15404
"247",20.76751
"248",22.44131
"249",24.12439
"250",25.81792
"251",27.52187
"252",29.29697
"253",31.34124
"254",33.46242
"255",33.35036
"256",33.01774
"257",32.68844
"258",32.36243
"259",32.03966
"260",31.72012
"261",31.40376
"262",31.09056
"263",30.78048
"264",30.4735
"265",30.16957
"266",29.86868
"267",29.57079
"268",29.27587
"269",28.98389
"270",28.69482
"271",28.40863
"272",28.1253
"273",27.8448
"274",27.56709
"275",27.29215
"276",27.71116
"277",28.07144
"278",27.93435
"279",27.40553
"280",26.53216
"281",25.37369
"282",24.0148
"283",22.64393
"284",21.33879
"285",20.12552
"286",19.02123
"287",18.13456
"288",17.52742
"289",17.1478
"290",16.95279
"291",16.8965
"292",16.92158
"293",17.01071
"294",17.15196
"295",17.35755
"296",17.84904
"297",18.64222
"298",19.68513
"299",20.94064
"300",22.26236
"301",23.52688
"302",24.73926
"303",25.90378
"304",27.05283
"305",28.28194
"306",29.61192
"307",31.02971
"308",32.37279
"309",32.20868
"310",31.88745
"311",31.56942
"312",31.25457
"313",30.94285
"314",30.63425
"315",30.32872
"316",30.02624
"317",29.72678
"318",29.4303
"319",29.13678
"320",28.84619
"321",28.55849
"322",28.27367
"323",27.99168
"324",27.71251
"325",27.43612
"326",27.38287
"327",27.77146
"328",28.12157
"329",28.43538
"330",28.64868
"331",28.40114
"332",27.63119
"333",26.37727
"334",24.74184
"335",23.06288
"336",21.46408
"337",19.97217
"338",18.60521
"339",17.43584
"340",16.50448
"341",15.77756
"342",15.22549
"343",14.82292
"344",14.54865
"345",14.38332
"346",14.31017
"347",14.3288
"348",14.57034
"349",15.03502
"350",15.68155
"351",16.47976
"352",17.46835
"353",18.67812
"354",20.07915
"355",21.65999
"356",23.35448
"357",24.94616
"358",26.42675
"359",26.58314
"360",26.31802
"361",26.05554
"362",25.79568
"363",25.53841
"364",25.2837
"365",25.03154
"366",24.78189
"367",24.53473
"368",24.29003
"369",24.04778
"370",23.80794
"371",23.5705
"372",23.33542
"373",23.10269
"374",22.87227
"375",22.64416
"376",22.41832
"377",22.19473
"378",22.03862
"379",22.44843
"380",22.68027
"381",22.5431
"382",22.07476
"383",21.42391
"384",20.63341
"385",19.73961
"386",18.77936
"387",17.77562
"388",16.76198
"389",15.77263
"390",14.83503
"391",14.03463
"392",13.42272
"393",12.97161
"394",12.65636
"395",12.45965
"396",12.37412
"397",12.38049
"398",12.4613
"399",12.61897
"400",13.01502
"401",13.65484
"402",14.49515
"403",15.50617
"404",16.61677
"405",17.76906
"406",18.96047
"407",20.18832
"408",21.49281
"409",23.01053
"410",24.57558
"411",24.34791
"412",24.10507
"413",23.86466
"414",23.62665
"415",23.39102
"416",23.15773
"417",22.92677
"418",22.69811
"419",22.47173
"420",22.24761
"421",22.02573
"422",21.80606
"423",21.58858
"424",21.37326
"425",21.1601
"426",20.94906
"427",20.74013
"428",20.53328
"429",20.86334
"430",21.3355
"431",21.63435
"432",21.69103
"433",21.50297
"434",21.08794
"435",20.48691
"436",19.73649
"437",18.87693
"438",17.95369
"439",17.0461
"440",16.18901
"441",15.39584
"442",14.67488
"443",14.03857
"444",13.49278
"445",13.03136
"446",12.6471
"447",12.37182
"448",12.29833
"449",12.39225
"450",12.61841
"451",12.94967
"452",13.35892
"453",13.82996
"454",14.35236
"455",14.91788
"456",15.62724
"457",16.55969
"458",17.68388
"459",18.97637
"460",20.42239
"461",22.0335
"462",23.69057
"463",23.84776
"464",23.60991
"465",23.37444
"466",23.14132
"467",22.91052
"468",22.68203
"469",22.45581
"470",22.23185
"471",22.01012
"472",21.79061
"473",21.57328
"474",21.35812
"475",21.14511
"476",20.93422
"477",20.72543
"478",20.51873
"479",20.31409
"480",20.33664
"481",20.88531
"482",21.37778
"483",21.60474
"484",21.47401
"485",20.99146
"486",20.2327
"487",19.36667
"488",18.44238
"489",17.49514
"490",16.55679
"491",15.65953
"492",14.82315
"493",14.05917
"494",13.3742
"495",12.85708
"496",12.55945
"497",12.43684
"498",12.45435
"499",12.55372
"500",12.63014
"501",12.6815
"502",12.71391
"503",12.75545
"504",13.04847
"505",13.61307
"506",14.39874
"507",15.37154
"508",16.42947
"509",17.48848
"510",18.55095
"511",19.61868
"512",20.71208
"513",21.88696
"514",23.13983
"515",24.47309
"516",25.90765
"517",27.37031
"518",27.77324
"519",27.49624
"520",27.22201
"521",26.95052
"522",26.68173
"523",26.41562
"524",26.15217
"525",25.89134
"526",25.63312
"527",25.37747
"528",25.12437
"529",24.87379
"530",24.62572
"531",24.75126
"532",25.33662
"533",25.86457
"534",26.25057
"535",26.4976
"536",26.60648
"537",26.57936
"538",26.34767
"539",25.7016
"540",24.66396
"541",23.30365
"542",21.73294
"543",20.30196
"544",19.09203
"545",18.07872
"546",17.23789
"547",16.48899
"548",15.77396
"549",15.10221
"550",14.48087
"551",13.93593
"552",13.52356
"553",13.22791
"554",13.02946
"555",12.93575
"556",13.17655
"557",13.75404
"558",14.60522
"559",15.68859
"560",16.82619
"561",17.86708
"562",18.82175
"563",19.70012
"564",20.61142
"565",21.84123
"566",23.37981
"567",24.79168
"568",24.54442
"569",24.29963
"570",24.05728
"571",23.81735
"572",23.57981
"573",23.34463
"574",23.11181
"575",22.88131
"576",22.6531
"577",22.42717
"578",22.2035
"579",21.98205
"580",21.76282
"581",21.54577
"582",21.33088
"583",21.76278
"584",22.36717
"585",22.92257
