,"r","js"
"248",2596.493,2598.441
"249",2485.861,2487.762
"250",2372.974,2374.822
"251",2254.382,2256.168
"252",2114.758,2116.736
"253",1908.093,1909.932
"254",1670.27,1671.907
"255",1436.738,1438.163
"256",1195.557,1196.743
"257",994.8628,995.8494
"258",827.8576,828.6781
"259",688.8868,689.5698
"260",573.2449,573.8134
"261",477.0155,477.4887
"262",396.9399,397.3339
"263",330.3065,330.6347
"264",274.8589,275.132
"265",228.7192,228.9461
"266",190.3246,190.5134
"267",158.3752,158.5323
"268",131.7891,131.9199
"269",109.666,109.7749
"270",91.25687,91.34728
"271",75.93779,76.01301
"272",63.19029,63.25287
"273",52.58265,52.63475
"274",43.75575,43.79905
"275",62.56687,62.63766
"276",114.1558,114.2971
"277",194.5736,194.8221
"278",310.5275,311.132
"279",475.1155,475.9552
"280",716.1387,717.229
"281",1044.27,1045.612
"282",1438.737,1440.551
"283",1838.992,1840.97
"284",2205.5,2207.573
"285",2518.482,2520.601
"286",2768.453,2770.58
"287",2945.472,2947.595
"288",3051.551,3053.667
"289",3102.251,3104.358
"290",3112.243,3114.338
"291",3095.092,3097.151
"292",3063.573,3065.624
"293",3025.085,3027.127
"294",2984.95,2986.989
"295",2945.472,2947.702
"296",2888.503,2890.688
"297",2806.958,2809.079
"298",2701.147,2703.191
"299",2570.514,2572.473
"300",2432.507,2434.375
"301",2304.793,2306.578
"302",2185.596,2187.303
"303",2072.342,2073.974
"304",1956.894,1958.59
"305",1810.935,1812.54
"306",1637.348,1638.823
"307",1454.243,1455.572
"308",1274.239,1275.569
"309",1093.257,1094.395
"310",909.7353,910.6821
"311",757.0214,757.8094
"312",629.9414,630.5974
"313",524.1946,524.7404
"314",436.1993,436.6535
"315",362.9759,363.3538
"316",302.0441,302.3585
"317",251.3407,251.6024
"318",209.1488,209.3666
"319",174.0396,174.2208
"320",144.824,144.9747
"321",120.5127,120.6381
"322",100.2826,100.3868
"323",83.44849,83.53535
"324",105.7859,105.8925
"325",125.2835,125.4074
"326",143.1471,143.2869
"327",160.2653,160.4206
"328",177.2721,177.4428
"329",194.3496,194.5359
"330",216.781,216.843
"331",265.343,265.494
"332",382.7714,383.0665
"333",635.7507,636.2819
"334",1043.307,1044.677
"335",1509.129,1510.804
"336",1956.911,1958.766
"337",2350.008,2351.959
"338",2670.82,2672.817
"339",2908.534,2910.539
"340",3065.727,3067.729
"341",3157.015,3159.005
"342",3197.065,3199.039
"343",3199.179,3201.137
"344",3174.806,3176.741
"345",3133.6,3135.516
"346",3083.496,3085.392
"347",3030.004,3031.985
"348",2967.219,2969.165
"349",2894.153,2896.049
"350",2813.638,2815.484
"351",2727.09,2728.888
"352",2623.371,2625.118
"353",2488.785,2490.464
"354",2321.217,2322.806
"355",2096.759,2098.205
"356",1844.178,1845.232
"357",1609.649,1610.602
"358",1398.478,1399.331
"359",1211.806,1212.565
"360",1049.805,1050.477
"361",889.2678,889.8435
"362",739.9888,740.4678
"363",615.7689,616.1675
"364",512.4014,512.7331
"365",426.386,426.6618
"366",354.8096,355.0391
"367",295.2485,295.4396
"368",245.6859,245.8449
"369",204.4432,204.5756
"370",170.1239,170.234
"371",141.5656,141.6573
"372",117.8016,117.8778
"373",133.994,134.1194
"374",146.759,146.8986
"375",155.5605,155.7101
"376",161.3051,161.4614
"377",146.7084,146.8507
"378",152.7031,152.8521
"379",171.3026,171.4704
"380",207.7611,207.9658
"381",268.8051,269.0678
"382",380.7781,381.3793
"383",553.0651,553.8739
"384",788.613,789.6185
"385",1078.816,1080.004
"386",1404.96,1406.269
"387",1746.091,1747.543
"388",2077.236,2078.806
"389",2375.596,2377.252
"390",2625.075,2626.789
"391",2810.913,2812.663
"392",2931.661,2933.43
"393",2999.049,3000.823
"394",3025.359,3027.129
"395",3021.731,3023.499
"396",2997.493,2999.242
"397",2961.381,2963.109
"398",2920.714,2922.424
"399",2880.556,2882.343
"400",2833.233,2834.998
"401",2773.173,2774.891
"402",2700.161,2701.831
"403",2612.946,2614.565
"404",2517.812,2519.381
"405",2421.175,2422.697
"406",2319.349,2320.821
"407",2208.348,2209.764
"408",2072.972,2074.577
"409",1868.926,1870.418
"410",1633.963,1635.289
"411",1399.369,1400.515
"412",1164.462,1165.415
"413",968.9887,969.7796
"414",806.3265,806.9852
"415",670.97,671.5186
"416",558.3358,558.7926
"417",464.6097,464.9898
"418",386.6169,386.9332
"419",321.7166,321.9795
"420",267.7109,267.9295
"421",222.7709,222.9526
"422",185.3751,185.5267
"423",154.2565,154.3828
"424",128.3618,128.4669
"425",106.814,106.9014
"426",88.88351,88.95613
"427",73.96287,74.02337
"428",96.21687,96.30546
"429",136.8947,137.031
"430",189.0144,189.2099
"431",249.9692,250.2332
"432",319.4866,319.8258
"433",414.5971,415.0251
"434",559.4531,560.0292
"435",772.6647,773.391
"436",1059.259,1060.155
"437",1406.43,1407.503
"438",1786.207,1787.569
"439",2156.345,2157.831
"440",2490.01,2491.586
"441",2773.241,2774.869
"442",2999.568,3001.228
"443",3167.315,3168.986
"444",3279.742,3281.41
"445",3343.816,3345.477
"446",3367.618,3369.262
"447",3358.689,3360.352
"448",3322.326,3323.964
"449",3267.228,3268.832
"450",3202.616,3204.187
"451",3136.243,3137.78
"452",3074.493,3076.009
"453",3021.411,3022.922
"454",2979.134,2980.643
"455",2948.508,2950.021
"456",2913.338,2914.855
"457",2852.004,2853.517
"458",2758.363,2759.856
"459",2627.864,2629.312
"460",2451.769,2453.165
"461",2206.534,2207.808
"462",1931.914,1933.042
"463",1668.44,1669.421
"464",1391.969,1392.788
"465",1158.303,1158.984
"466",963.861,964.4279
"467",802.06,802.5318
"468",667.4199,667.8128
"469",555.3819,555.7092
"470",462.1514,462.424
"471",384.5714,384.7977
"472",320.0142,320.2026
