"","x"
"1",16.63356
"2",16.47553
"3",16.319
"4",16.16396
"5",16.01039
"6",15.85828
"7",15.70761
"8",15.55838
"9",15.41057
"10",15.26415
"11",15.11913
"12",14.97549
"13",14.83321
"14",14.69229
"15",14.21828
"16",13.70914
"17",13.21824
"18",13.44619
"19",44.92772
"20",122.1625
"21",242.1006
"22",403.926
"23",633.828
"24",931.3029
"25",1283.35
"26",1675.93
"27",2081.873
"28",2478.824
"29",2860.001
"30",3219.359
"31",3543.363
"32",3807.678
"33",4017.484
"34",4179.788
"35",4300.052
"36",4375.854
"37",4412.292
"38",4416.351
"39",4393.803
"40",4341.735
"41",4258.092
"42",4147.623
"43",4013.26
"44",3869.557
"45",3760.303
"46",3724.577
"47",3689.191
"48",3654.141
"49",3619.424
"50",3585.037
"51",3550.976
"52",3517.239
"53",3483.823
"54",3450.724
"55",3417.94
"56",3385.467
"57",3353.302
"58",3321.444
"59",3289.887
"60",3258.631
"61",3227.672
"62",3197.006
"63",3166.632
"64",3136.547
"65",3106.748
"66",3077.231
"67",3015.165
"68",2907.198
"69",2810.112
"70",2731.953
"71",2670.35
"72",2623.227
"73",2588.302
"74",2562.93
"75",2542.626
"76",2525.013
"77",2508.634
"78",2492.2
"79",2473.959
"80",2452.671
"81",2428.045
"82",2399.917
"83",2368.377
"84",2333.782
"85",2296.095
"86",2255.357
"87",2211.351
"88",2160.999
"89",2105.272
"90",2045.981
"91",1984.406
"92",1921.734
"93",1858.79
"94",1795.886
"95",1733.2
"96",1671.246
"97",1611.402
"98",1587.654
"99",1572.57
"100",1557.63
"101",1542.831
"102",1528.173
"103",1513.654
"104",1499.274
"105",1485.029
"106",1470.92
"107",1456.946
"108",1443.104
"109",1429.393
"110",1415.813
"111",1402.362
"112",1389.038
"113",1375.841
"114",1362.77
"115",1349.822
"116",1336.998
"117",1324.296
"118",1311.714
"119",1299.252
"120",1254.671
"121",1210.169
"122",1168.823
"123",1130.586
"124",1095.136
"125",1062.092
"126",1030.983
"127",1000.76
"128",971.137
"129",942.1077
"130",913.6691
"131",885.8161
"132",858.5463
"133",831.8625
"134",805.7671
"135",780.2581
"136",755.3264
"137",730.9789
"138",707.222
"139",684.0459
"140",661.3212
"141",639.061
"142",617.3139
"143",596.1117
"144",575.4787
"145",555.428
"146",535.9591
"147",517.0662
"148",498.709
"149",481.1493
"150",476.578
"151",472.0502
"152",467.5654
"153",463.1232
"154",458.7231
"155",454.3649
"156",450.0481
"157",445.7724
"158",441.5372
"159",437.3423
"160",433.1872
"161",429.0716
"162",424.9951
"163",420.9573
"164",416.9579
"165",412.9965
"166",409.0728
"167",405.1863
"168",401.3367
"169",390.9704
"170",376.9704
"171",363.4764
"172",350.5014
"173",338.032
"174",326.0623
"175",314.6122
"176",303.657
"177",293.1662
"178",283.1076
"179",273.4399
"180",264.1334
"181",255.1645
"182",246.5113
"183",238.1548
"184",230.0777
"185",222.2639
"186",214.6995
"187",207.3666
"188",200.2425
"189",193.3273
"190",186.6211
"191",180.1221
"192",173.822
"193",167.7187
"194",161.8109
"195",156.0959
"196",150.566
"197",145.2139
"198",140.0359
"199",135.0272
"200",130.1921
"201",125.5302
"202",121.0352
"203",118.0314
"204",116.91
"205",115.7993
"206",114.6991
"207",113.6094
"208",112.53
"209",111.4609
"210",110.4019
"211",109.353
"212",108.3141
"213",107.285
"214",106.2658
"215",105.2561
"216",104.2561
"217",103.2656
"218",102.2845
"219",101.3128
"220",100.3502
"221",99.3968
"222",98.45246
"223",97.42072
"224",93.93225
"225",90.57142
"226",87.33911
"227",84.22852
"228",81.23451
"229",78.3522
"230",75.57665
"231",72.90198
"232",70.32366
"233",67.83783
"234",65.44081
"235",63.13019
"236",60.90328
"237",58.75643
"238",56.6863
"239",54.68895
"240",52.75924
"241",50.89538
"242",49.09576
"243",47.35859
"244",45.68141
"245",44.06206
"246",42.49849
"247",40.98862
"248",39.53092
"249",38.1239
"250",36.76566
"251",35.4544
"252",34.18778
"253",32.96369
"254",32.46719
"255",32.15872
"256",31.85319
"257",31.55056
"258",31.25081
"259",30.9539
"260",30.65982
"261",30.36853
"262",30.08001
"263",29.79422
"264",29.51116
"265",29.23078
"266",28.95306
"267",28.67799
"268",28.40553
"269",28.13565
"270",27.86834
"271",27.60358
"272",27.34132
"273",27.08156
"274",26.82426
"275",26.56941
"276",26.30051
"277",25.35878
"278",24.45328
"279",23.58332
"280",22.74757
"281",21.94492
"282",21.17431
"283",20.43384
"284",19.72229
"285",19.03873
"286",18.38233
"287",17.75111
"288",17.14296
"289",16.55695
"290",15.99227
"291",15.44837
"292",14.92513
"293",14.42213
"294",13.939
"295",13.47509
"296",13.02555
"297",12.5876
"298",12.15996
"299",11.74165
"300",11.33441
"301",10.94015
"302",10.55838
"303",10.18861
"304",9.829814
"305",9.479892
"306",9.140434
"307",8.833376
"308",8.749452
"309",8.666326
"310",8.58399
"311",8.502436
"312",8.421656
"313",8.341644
"314",8.262393
"315",8.183894
"316",8.106141
"317",8.029127
"318",7.952844
"319",7.877286
"320",7.802446
"321",7.728317
"322",7.654892
"323",7.582165
"324",7.510129
"325",7.438777
"326",7.368104
"327",7.298101
"328",7.228764
"329",7.160085
"330",6.922716
"331",6.677652
"332",6.449493
"333",6.237745
"334",6.041773
"335",5.857761
"336",5.684215
"337",5.520753
"338",5.366966
"339",5.221118
"340",5.081405
"341",4.947405
"342",4.818826
"343",4.695476
"344",4.577247
"345",4.464145
"346",4.356266
"347",4.253421
"348",4.151521
"349",4.048837
"350",3.94501
"351",3.839761
"352",3.731032
"353",3.61681
"354",3.49705
"355",3.373039
"356",3.272518
