"","x"
"1",0.237095
"2",0.2260441
"3",0.2155083
"4",0.2054635
"5",0.195887
"6",0.1867568
"7",0.1780521
"8",0.1697532
"9",0.1618411
"10",0.1542977
"11",0.147106
"12",0.1402494
"13",0.1333249
"14",0.126351
"15",0.1197419
"16",0.1134785
"17",0.1075427
"18",0.1019174
"19",0.09658634
"20",0.3362781
"21",4.395286
"22",13.56421
"23",29.79841
"24",50.31563
"25",71.33315
"26",90.57491
"27",106.213
"28",117.6441
"29",125.3797
"30",129.9794
"31",131.8285
"32",131.1684
"33",128.7834
"34",125.2676
"35",121.0302
"36",116.3033
"37",111.3167
"38",106.2436
"39",101.1967
"40",96.22099
"41",91.35216
"42",86.6351
"43",82.10698
"44",77.81216
"45",73.74201
"46",69.88475
"47",66.40184
"48",63.30688
"49",60.35618
"50",57.543
"51",54.86095
"52",52.3039
"53",49.86604
"54",47.5418
"55",45.3259
"56",43.21328
"57",41.19913
"58",39.27886
"59",37.44809
"60",35.70265
"61",34.03856
"62",32.45204
"63",30.93946
"64",29.49739
"65",28.12253
"66",26.69346
"67",25.29719
"68",23.97396
"69",22.71994
"70",21.54179
"71",20.44569
"72",19.41904
"73",18.45168
"74",17.53559
"75",16.66337
"76",15.83127
"77",15.03701
"78",14.27881
"79",13.55498
"80",12.86428
"81",12.20578
"82",11.57852
"83",10.98152
"84",10.41376
"85",9.874105
"86",9.361428
"87",8.874564
"88",8.412175
"89",7.973274
"90",7.556892
"91",7.162008
"92",6.78761
"93",6.432695
"94",6.096291
"95",5.77743
"96",5.475226
"97",5.18883
"98",4.917415
"99",4.663171
"100",4.445823
"101",4.238605
"102",4.041045
"103",3.852694
"104",3.673121
"105",3.501919
"106",3.338696
"107",3.183081
"108",3.034719
"109",2.893272
"110",2.758418
"111",2.629849
"112",2.507273
"113",2.39041
"114",2.278994
"115",2.172771
"116",2.071499
"117",1.974948
"118",1.882335
"119",1.783875
"120",1.690565
"121",1.602135
"122",1.755228
"123",2.429549
"124",3.377568
"125",4.402891
"126",5.357506
"127",6.05286
"128",6.50002
"129",6.75584
"130",6.865819
"131",6.866022
"132",6.785429
"133",6.647434
"134",6.470674
"135",6.269918
"136",6.057209
"137",5.843407
"138",5.637864
"139",5.448473
"140",5.28434
"141",5.171344
"142",5.130051
"143",5.171611
"144",5.298831
"145",5.496022
"146",5.722461
"147",5.89269
"148",5.751907
"149",5.451039
"150",5.176018
"151",4.934766
"152",4.704758
"153",4.485472
"154",4.276406
"155",4.077084
"156",3.887053
"157",3.705879
"158",3.53315
"159",3.368471
"160",3.211468
"161",3.061783
"162",2.919075
"163",2.783018
"164",2.653303
"165",2.529633
"166",2.411728
"167",2.299319
"168",2.18518
"169",2.070878
"170",1.962555
"171",1.859899
"172",1.762612
"173",1.670414
"174",2.198893
"175",5.046053
"176",9.430511
"177",14.51967
"178",19.70161
"179",24.48749
"180",28.84816
"181",33.02844
"182",37.4577
"183",42.71468
"184",49.42318
"185",58.16391
"186",69.41664
"187",83.20724
"188",98.8745
"189",116.3758
"190",135.4533
"191",155.6544
"192",175.484
"193",194.3751
"194",211.9773
"195",227.8438
"196",239.4691
"197",243.9706
"198",239.5747
"199",227.4608
"200",215.5629
"201",204.2874
"202",193.6016
"203",183.4748
"204",173.8776
"205",165.0701
"206",157.3763
"207",150.0411
"208",143.0477
"209",136.3803
"210",130.0237
"211",123.9633
"212",118.1855
"213",112.6769
"214",107.4251
"215",102.418
"216",97.64437
"217",93.09321
"218",88.75418
"219",84.61739
"220",80.67341
"221",76.91325
"222",73.24384
"223",69.41263
"224",65.78182
"225",62.34093
"226",61.43832
"227",66.79503
"228",78.35778
"229",95.66928
"230",117.9428
"231",143.0764
"232",170.4168
"233",199.8486
"234",231.1952
"235",266.0181
"236",305.3551
"237",348.2182
"238",393.6525
"239",438.5157
"240",476.1135
"241",506.9671
"242",531.9682
"243",551.6363
"244",564.8318
"245",571.4473
"246",571.7567
"247",565.8961
"248",555.204
"249",540.9877
"250",523.2306
"251",501.9102
