"","x"
"1",4.589875
"2",4.576749
"3",4.563661
"4",4.55061
"5",4.537596
"6",4.52462
"7",4.511681
"8",4.498778
"9",4.485913
"10",4.473084
"11",4.460292
"12",4.421697
"13",4.188872
"14",3.890261
"15",3.635134
"16",3.369451
"17",3.087364
"18",2.789249
"19",2.52541
"20",2.482033
"21",2.812805
"22",3.598253
"23",4.834106
"24",6.524739
"25",8.57029
"26",10.79606
"27",13.14048
"28",15.49663
"29",17.68923
"30",19.62905
"31",21.4605
"32",23.51198
"33",25.54408
"34",27.42914
"35",29.16554
"36",31.15765
"37",33.40212
"38",35.837
"39",38.46341
"40",42.21671
"41",47.86362
"42",55.40109
"43",64.91921
"44",75.93073
"45",81.9622
"46",76.69751
"47",72.6963
"48",69.40679
"49",69.2083
"50",69.01038
"51",68.81303
"52",68.61624
"53",68.42002
"54",68.22435
"55",68.02925
"56",67.8347
"57",67.64071
"58",67.44728
"59",67.25439
"60",67.06206
"61",66.87028
"62",66.67905
"63",66.44431
"64",63.50429
"65",60.55548
"66",57.22058
"67",58.62334
"68",65.8399
"69",69.33659
"70",69.05533
"71",65.57182
"72",59.72454
"73",52.54674
"74",45.09291
"75",38.49784
"76",33.03148
"77",28.63076
"78",25.15488
"79",22.52353
"80",20.5644
"81",19.04886
"82",17.82779
"83",16.78699
"84",15.84081
"85",14.99465
"86",14.24736
"87",13.64038
"88",13.62357
"89",14.1858
"90",15.26353
"91",16.88852
"92",18.96357
"93",21.4475
"94",24.48014
"95",28.16944
"96",32.42713
"97",36.85958
"98",35.6279
"99",33.63185
"100",32.05996
"101",31.48343
"102",31.3934
"103",31.30362
"104",31.2141
"105",31.12483
"106",31.03583
"107",30.94707
"108",30.85857
"109",30.77032
"110",30.68233
"111",30.59458
"112",30.50709
"113",30.41985
"114",30.33285
"115",30.24611
"116",30.15961
"117",30.00653
"118",28.60583
"119",26.81607
"120",29.77461
"121",31.27576
"122",30.74389
"123",28.23583
"124",24.36616
"125",19.97285
"126",15.87539
"127",13.0006
"128",11.10045
"129",9.801751
"130",8.873186
"131",8.175681
"132",7.623821
"133",7.164113
"134",6.764824
"135",6.411517
"136",6.100952
"137",5.819449
"138",5.558477
"139",5.330637
"140",5.287521
"141",5.399593
"142",5.620339
"143",5.933165
"144",6.32226
"145",6.782867
"146",7.327302
"147",7.967971
"148",8.811882
"149",10.04953
"150",9.469745
"151",9.322866
"152",9.296205
"153",9.26962
"154",9.243112
"155",9.216679
"156",9.190321
"157",9.164039
"158",9.137832
"159",9.1117
"160",9.085643
"161",9.059661
"162",9.033752
"163",9.007918
"164",8.982158
"165",8.956471
"166",8.930858
"167",8.773022
"168",8.309313
"169",8.748283
"170",9.512168
"171",10.00066
"172",10.22659
"173",10.21189
"174",9.926131
"175",9.240043
"176",8.248848
"177",7.095447
"178",5.925291
"179",4.883707
"180",4.014856
"181",3.3169
"182",2.771383
"183",2.350063
"184",2.026087
"185",1.777309
"186",1.585024
"187",1.445198
"188",1.36175
"189",1.30696
"190",1.266164
"191",1.234804
"192",1.230051
"193",1.248128
"194",1.28335
"195",1.3339
"196",1.433868
"197",1.611873
"198",1.869067
"199",2.210109
"200",2.603513
"201",2.961761
"202",3.284453
"203",3.344332
"204",3.105213
"205",2.934452
"206",2.824603
"207",2.816525
"208",2.808471
"209",2.800439
"210",2.79243
"211",2.784445
"212",2.776482
"213",2.768542
"214",2.760625
"215",2.75273
"216",2.744858
"217",2.657969
"218",2.540024
"219",2.427452
"220",2.319992
"221",2.217398
"222",2.110767
"223",1.990195
"224",2.237108
"225",2.350234
"226",2.327916
"227",2.209532
"228",2.020615
"229",1.789277
"230",1.54524
"231",1.326165
"232",1.140261
"233",0.9854658
"234",0.8583286
"235",0.7445585
"236",0.640687
"237",0.5536005
"238",0.4847778
"239",0.4384287
"240",0.4202068
"241",0.4169634
"242",0.4218457
"243",0.4323733
"244",0.4526503
"245",0.4824902
"246",0.5213043
"247",0.5695522
"248",0.6222533
"249",0.675856
"250",0.73262
"251",0.7940967
"252",0.8687513
"253",0.9758683
"254",0.9507783
"255",0.9106755
"256",0.9080712
"257",0.9054744
"258",0.9028849
"259",0.9003029
"260",0.8977283
"261",0.895161
"262",0.8926011
"263",0.8900485
"264",0.8875031
"265",0.8849651
"266",0.8824343
"267",0.8799108
"268",0.8773945
"269",0.8748853
"270",0.8723834
"271",0.8698886
"272",0.8674009
"273",0.8649204
"274",0.8624469
"275",0.8402684
"276",0.7930885
"277",0.8656974
"278",0.8735512
"279",0.8303634
"280",0.7486615
"281",0.645471
"282",0.5396465
"283",0.4529124
"284",0.3871714
"285",0.3386414
"286",0.3035646
"287",0.2834708
"288",0.2760119
"289",0.2752657
"290",0.2780509
"291",0.2820218
"292",0.2849259
"293",0.2870615
"294",0.2887328
"295",0.2914457
"296",0.3077171
"297",0.3371887
"298",0.3779148
"299",0.429969
"300",0.4833261
"301",0.5296723
"302",0.5715518
"303",0.6106934
"304",0.6511304
"305",0.7013098
"306",0.7605529
"307",0.8162233
"308",0.7626459
"309",0.7338615
"310",0.7317628
"311",0.7296701
"312",0.7275835
"313",0.7255028
"314",0.723428
"315",0.7213592
"316",0.7192963
"317",0.7172393
"318",0.7151882
"319",0.7131429
"320",0.7111035
"321",0.7090699
"322",0.7070421
"323",0.7050202
"324",0.6743896
"325",0.6431029
"326",0.6106082
"327",0.5764183
"328",0.5401254
"329",0.5015974
"330",0.5496037
"331",0.5684894
"332",0.5418193
"333",0.4786629
"334",0.3991409
"335",0.3341999
"336",0.2873973
"337",0.2547328
"338",0.2326213
"339",0.2205536
"340",0.2164256
"341",0.2165488
"342",0.2188293
"343",0.2221064
"344",0.2257657
"345",0.2294365
"346",0.2329291
"347",0.2369071
"348",0.2481415
"349",0.2658871
"350",0.2885374
"351",0.3156898
"352",0.3526497
"353",0.4041168
"354",0.4702188
"355",0.5509185
"356",0.6093447
"357",0.568011
"358",0.5353875
"359",0.5086974
"360",0.4856314
"361",0.4756292
"362",0.474269
"363",0.4729127
"364",0.4715603
"365",0.4702117
"366",0.468867
"367",0.4675262
"368",0.4661892
"369",0.464856
"370",0.4635266
"371",0.4622011
"372",0.4608793
"373",0.440887
"374",0.4212765
"375",0.4026793
"376",0.3849648
"377",0.3770273
"378",0.3601473
"379",0.3534792
"380",0.4201632
"381",0.4525803
"382",0.4522357
"383",0.4341375
"384",0.4044374
"385",0.3684678
"386",0.3308712
"387",0.2943737
"388",0.2617476
"389",0.2346773
"390",0.2135542
"391",0.2006638
"392",0.1950665
"393",0.1933606
"394",0.1936478
"395",0.1950876
"396",0.1974935
"397",0.2002759
"398",0.2031091
"399",0.2066431
"400",0.2181826
"401",0.2373406
"402",0.2629393
"403",0.2951371
"404",0.3305624
"405",0.3668033
"406",0.405448
"407",0.4475873
"408",0.497915
"409",0.5667406
"410",0.5479045
"411",0.527679
"412",0.52617
"413",0.5246653
"414",0.5231649
"415",0.5216688
"416",0.5201769
"417",0.5186893
"418",0.517206
"419",0.5157269
"420",0.5142521
"421",0.5127815
"422",0.511315
"423",0.5098528
"424",0.5083947
"425",0.5069409
"426",0.5054911
"427",0.5040456
"428",0.4870941
"429",0.4596845
"430",0.47756
"431",0.5219403
