"","x"
"1",0.9171772
"2",0.9187547
"3",0.9203022
"4",0.9218202
"5",0.9233093
"6",0.92477
"7",0.9262029
"8",0.9276085
"9",0.9289874
"10",0.93034
"11",0.9316668
"12",0.9329683
"13",0.9342451
"14",0.9354975
"15",0.0164671
"16",0.001936422
"17",0.0008848017
"18",0.0005284218
"19",0.0003647221
"20",0.0002817972
"21",0.0002325835
"22",0.0001898305
"23",0.000148993
"24",0.0001257738
"25",0.0001119736
"26",0.0001040513
"27",0.0001059214
"28",0.0001097176
"29",0.0001155327
"30",0.0001236199
"31",0.000143123
"32",0.0001711995
"33",0.0002040492
"34",0.0002421463
"35",0.0002924799
"36",0.0003648365
"37",0.0004526949
"38",0.0005593984
"39",0.000689398
"40",0.0009764055
"41",0.001454903
"42",0.002385208
"43",0.004861374
"44",0.01289468
"45",0.03074868
"46",0.04921005
"47",0.06731978
"48",0.08508456
"49",0.102511
"50",0.1196055
"51",0.1363744
"52",0.1528239
"53",0.1689601
"54",0.184789
"55",0.2003163
"56",0.2155479
"57",0.2304894
"58",0.2451463
"59",0.259524
"60",0.2736279
"61",0.2874631
"62",0.3010349
"63",0.3143481
"64",0.3274077
"65",0.3402186
"66",0.3527855
"67",0.3622476
"68",0.122109
"69",0.01051682
"70",0.003494668
"71",0.002632665
"72",0.002179968
"73",0.00190617
"74",0.001755662
"75",0.001715992
"76",0.001708927
"77",0.00173145
"78",0.001783152
"79",0.001898691
"80",0.002047035
"81",0.002229557
"82",0.002452776
"83",0.002706573
"84",0.003005068
"85",0.003378863
"86",0.00384621
"87",0.004579166
"88",0.006268881
"89",0.008536069
"90",0.01148911
"91",0.01535833
"92",0.02010279
"93",0.02593085
"94",0.03348157
"95",0.04361148
"96",0.05708691
"97",0.07367018
"98",0.09131381
"99",0.1086216
"100",0.1255997
"101",0.1422544
"102",0.158592
"103",0.1746183
"104",0.1903394
"105",0.205761
"106",0.2208889
"107",0.2357287
"108",0.2502858
"109",0.2645656
"110",0.2785734
"111",0.2923145
"112",0.3057938
"113",0.3190164
"114",0.3319871
"115",0.3447108
"116",0.3571921
"117",0.3694357
"118",0.381446
"119",0.3932277
"120",0.3968593
"121",0.3696935
"122",0.3170921
"123",0.2508007
"124",0.185944
"125",0.1325737
"126",0.09445997
"127",0.07298692
"128",0.0618983
"129",0.05659814
"130",0.05469114
"131",0.05490512
"132",0.05653638
"133",0.05917936
"134",0.06260302
"135",0.06669633
"136",0.07143119
"137",0.07673907
"138",0.08257349
"139",0.08898736
"140",0.09674307
"141",0.105764
"142",0.1157808
"143",0.1266151
"144",0.1381055
"145",0.1501359
"146",0.1626564
"147",0.1756341
"148",0.1892713
"149",0.2041798
"150",0.2193378
"151",0.2342071
"152",0.2487932
"153",0.2631014
"154",0.2771372
"155",0.2909056
"156",0.3044117
"157",0.3176606
"158",0.3306572
"159",0.3434062
"160",0.3559123
"161",0.3681803
"162",0.3802146
"163",0.3920197
"164",0.4035999
"165",0.4149595
"166",0.4261028
"167",0.4370339
"168",0.4477567
"169",0.4580831
"170",0.4671563
"171",0.4754464
"172",0.4829709
"173",0.4897577
"174",0.4956231
"175",0.4999563
"176",0.5028309
"177",0.5044325
"178",0.5050045
"179",0.5050025
"180",0.5046908
"181",0.5042447
"182",0.5038246
"183",0.5035492
"184",0.5035197
"185",0.503831
"186",0.5045425
"187",0.5058498
"188",0.5081475
"189",0.5112378
"190",0.5149246
"191",0.5190752
"192",0.5237939
"193",0.5290085
"194",0.5346085
"195",0.5405183
"196",0.5468667
"197",0.5537682
"198",0.5611607
"199",0.5689887
"200",0.5770933
"201",0.585126
"202",0.5930281
"203",0.6007798
"204",0.6083837
"205",0.6158428
"206",0.6231599
"207",0.6303376
"208",0.6373785
"209",0.6442854
"210",0.6510607
"211",0.657707
"212",0.6642266
"213",0.6706221
"214",0.6768958
"215",0.68305
"216",0.6890869
"217",0.6950089
"218",0.7008181
"219",0.7065166
"220",0.7121066
"221",0.7175901
