"","x"
"1",0.005766501
"2",0.001194431
"3",0.0002473388
"4",5.135036e-05
"5",1.059708e-05
"6",2.152702e-06
"7",5.65554e-07
"8",1.334792e-07
"9",3.615861e-07
"10",1.243815e-06
"11",2.978011e-07
"12",5.77997e-08
"13",1.197287e-08
"14",2.479195e-09
"15",0.2402335
"16",0.06590823
"17",0.02374726
"18",0.01476589
"19",0.01281389
"20",0.01237509
"21",0.01226924
"22",0.01224777
"23",0.0122394
"24",0.01222986
"25",0.0122236
"26",0.01221958
"27",0.01221401
"28",0.01221186
"29",0.01221034
"30",0.01220879
"31",0.01220154
"32",0.01219638
"33",0.01219258
"34",0.01218887
"35",0.01218015
"36",0.01216733
"37",0.01215589
"38",0.01214282
"39",0.01212686
"40",0.01203488
"41",0.0119074
"42",0.01161731
"43",0.01061849
"44",0.007275124
"45",0.00173941
"46",0.0003604764
"47",7.467717e-05
"48",1.547054e-05
"49",3.202886e-06
"50",6.648391e-07
"51",1.297435e-07
"52",4.890733e-08
"53",1.123678e-08
"54",4.203892e-08
"55",3.633497e-07
"56",1.581365e-07
"57",2.975941e-08
"58",9.390083e-09
"59",1.396402e-08
"60",6.864899e-09
"61",-3.064673e-09
"62",1.789666e-08
"63",-1.217587e-09
"64",-2.522257e-10
"65",-5.224606e-11
"66",-1.082263e-11
"67",0.0027491
"68",0.1388215
"69",0.08043163
"70",0.02872606
"71",0.01599775
"72",0.01318962
"73",0.01252776
"74",0.01232785
"75",0.01223949
"76",0.01220529
"77",0.01218328
"78",0.01216362
"79",0.0121257
"80",0.01210065
"81",0.01207627
"82",0.01204825
"83",0.01202687
"84",0.01199352
"85",0.01194439
"86",0.0118816
"87",0.01168355
"88",0.01116115
"89",0.01074271
"90",0.01027295
"91",0.009662072
"92",0.009070834
"93",0.00831045
"94",0.007174642
"95",0.005484763
"96",0.003349114
"97",0.001163559
"98",0.0002410603
"99",4.993089e-05
"100",1.034221e-05
"101",2.142084e-06
"102",4.335868e-07
"103",8.206641e-08
"104",1.077979e-08
"105",6.543002e-10
"106",1.103297e-09
"107",7.990481e-10
"108",-2.505715e-09
"109",9.751e-09
"110",3.030939e-08
"111",-2.320347e-08
"112",3.881841e-08
"113",1.624254e-08
"114",4.602157e-09
"115",1.915409e-10
"116",-8.962701e-10
"117",-3.735123e-08
"118",-7.737161e-09
"119",-1.602754e-09
"120",0.005728669
"121",0.02273824
"122",0.03892735
"123",0.04879365
"124",0.04991711
"125",0.04452659
"126",0.03599046
"127",0.02631854
"128",0.01961602
"129",0.01558303
"130",0.01317485
"131",0.01166967
"132",0.01066605
"133",0.009945256
"134",0.009383106
"135",0.008893977
"136",0.008430265
"137",0.007999904
"138",0.007593229
"139",0.007133101
"140",0.006257965
"141",0.005377344
"142",0.004613331
"143",0.003950428
"144",0.00338483
"145",0.002884864
"146",0.002417544
"147",0.001968022
"148",0.001368439
"149",0.0004640409
"150",9.612364e-05
"151",1.990921e-05
"152",4.132274e-06
"153",8.278538e-07
"154",2.507215e-07
"155",3.150825e-08
"156",2.578231e-07
"157",2.94345e-07
"158",5.824709e-08
"159",3.732094e-08
"160",-5.727172e-10
"161",1.004829e-09
"162",-1.039303e-07
"163",-4.416626e-09
"164",-4.09963e-08
"165",-1.362544e-07
"166",-2.311832e-08
"167",-6.221941e-09
"168",-1.288848e-09
"169",0.0001575164
"170",0.0007059443
"171",0.001130113
"172",0.00152648
"173",0.001909652
"174",0.002435782
"175",0.003276978
"176",0.00414242
"177",0.004929651
"178",0.005580716
"179",0.005975798
"180",0.006204246
"181",0.006312453
"182",0.00631654
"183",0.00624223
"184",0.006097168
"185",0.005888965
"186",0.005636291
"187",0.005238473
"188",0.004643414
"189",0.004107632
"190",0.00367348
"191",0.00331317
"192",0.002903756
"193",0.002528791
"194",0.002209773
"195",0.001935398
"196",0.001578462
"197",0.001165456
"198",0.0007664217
"199",0.0003935695
"200",0.0001243513
"201",3.36517e-05
"202",7.029386e-06
"203",1.470365e-06
"204",3.04599e-07
"205",6.308975e-08
"206",1.307e-08
"207",2.73679e-09
"208",1.382908e-10
"209",-4.234221e-09
"210",-1.409309e-09
"211",3.297999e-09
"212",-1.891017e-08
"213",-1.430798e-08
"214",9.518425e-08
"215",2.82355e-08
"216",-3.874149e-07
"217",-1.059981e-07
"218",-2.19293e-08
"219",-4.838733e-09
"220",-9.950494e-10
"221",-2.127616e-09
"222",-4.407169e-10
"223",-8.201252e-11
"224",6.893033e-05
"225",0.000253743
"226",0.0004492516
"227",0.0006079333
"228",0.0007516329
"229",0.0008858846
"230",0.001007543
"231",0.001087303
"232",0.001153836
"233",0.001223241
"234",0.001302839
"235",0.001452739
"236",0.001678839
"237",0.001975101
"238",0.002376402
"239",0.00281206
"240",0.003108971
"241",0.003414598
"242",0.003753117
"243",0.004095508
"244",0.004279884
"245",0.004310695
"246",0.004185669
"247",0.003895264
"248",0.003598428
"249",0.003303872
"250",0.002943478
"251",0.002515919
"252",0.001843649
"253",0.0007438831
"254",0.000154026
"255",3.196136e-05
"256",6.635648e-06
"257",1.339605e-06
"258",3.693211e-07
"259",6.051797e-08
"260",2.967844e-07
"261",4.841817e-07
"262",9.941227e-08
"263",2.278391e-08
"264",5.154502e-09
"265",-2.430115e-08
"266",4.209835e-08
"267",2.086814e-08
"268",-8.861959e-08
"269",3.028564e-07
"270",-3.171136e-07
"271",-1.051559e-06
"272",-4.804583e-07
"273",-1.072751e-08
"274",-4.968452e-08
"275",-1.035126e-08
"276",-2.159701e-09
"277",0.0004442459
"278",0.001403582
"279",0.002286832
"280",0.003134545
"281",0.00395346
"282",0.004708028
"283",0.005185233
"284",0.005577502
"285",0.005993774
"286",0.006483273
"287",0.006761088
"288",0.006893212
"289",0.007064501
"290",0.007303614
"291",0.007662602
"292",0.008215819
"293",0.008901534
"294",0.009714343
"295",0.01050683
"296",0.01013485
"297",0.009122977
"298",0.00778259
"299",0.006222783
"300",0.005228108
"301",0.004719518
"302",0.004282275
"303",0.003839372
"304",0.003217235
"305",0.002236809
"306",0.001189888
"307",0.0003050218
"308",6.322353e-05
"309",1.309995e-05
"310",2.703064e-06
"311",6.589409e-07
"312",1.624895e-07
"313",1.486397e-07
"314",-3.037032e-08
"315",-4.633906e-07
"316",7.47597e-07
"317",-6.217325e-07
"318",-1.219255e-07
"319",-1.840819e-08
"320",-2.289942e-09
"321",-3.841112e-08
"322",-1.875824e-09
"323",-5.640118e-09
"324",-1.170536e-09
"325",-2.292289e-10
"326",-4.74753e-11
"327",-9.818474e-12
