"","x"
"1",3.563798
"2",3.479754
"3",3.397691
"4",3.317564
"5",3.239326
"6",3.162934
"7",3.088343
"8",3.015511
"9",2.944396
"10",2.874959
"11",2.807159
"12",2.740959
"13",2.676319
"14",2.613204
"15",-3.306365e-11
"16",2.113212e-06
"17",4.12347e-06
"18",6.834965e-06
"19",9.837306e-06
"20",1.270134e-05
"21",1.537109e-05
"22",1.88493e-05
"23",2.398402e-05
"24",2.839218e-05
"25",3.187517e-05
"26",3.428714e-05
"27",3.365639e-05
"28",3.247655e-05
"29",3.082414e-05
"30",2.87877e-05
"31",2.482637e-05
"32",2.073452e-05
"33",1.737182e-05
"34",1.45998e-05
"35",1.207563e-05
"36",9.660301e-06
"37",7.767142e-06
"38",6.268808e-06
"39",5.070217e-06
"40",3.532658e-06
"41",2.332023e-06
"42",1.36713e-06
"43",5.758638e-07
"44",1.148603e-07
"45",1.450695e-24
"46",1.416484e-24
"47",1.383079e-24
"48",1.350462e-24
"49",1.318614e-24
"50",1.287518e-24
"51",1.257154e-24
"52",1.227507e-24
"53",1.198559e-24
"54",1.170293e-24
"55",1.142695e-24
"56",1.115747e-24
"57",1.089434e-24
"58",1.063742e-24
"59",1.038656e-24
"60",1.014162e-24
"61",9.902447e-25
"62",9.668919e-25
"63",9.440898e-25
"64",9.218255e-25
"65",9.000862e-25
"66",8.788596e-25
"67",9.479218e-08
"68",1.133923e-06
"69",2.19921e-06
"70",3.183239e-06
"71",4.072477e-06
"72",4.860932e-06
"73",5.521855e-06
"74",5.946712e-06
"75",6.069255e-06
"76",6.081749e-06
"77",5.990298e-06
"78",5.804023e-06
"79",5.428894e-06
"80",5.024631e-06
"81",4.603002e-06
"82",4.175041e-06
"83",3.783529e-06
"84",3.403816e-06
"85",3.028595e-06
"86",2.670001e-06
"87",2.183757e-06
"88",1.59315e-06
"89",1.207642e-06
"90",9.422426e-07
"91",7.405451e-07
"92",6.110497e-07
"93",4.840274e-07
"94",3.498269e-07
"95",2.02081e-07
"96",8.574619e-08
"97",1.321546e-11
"98",-6.211779e-19
"99",-6.065287e-19
"100",-5.92225e-19
"101",-5.782587e-19
"102",-5.646217e-19
"103",-5.513063e-19
"104",-5.383049e-19
"105",-5.256101e-19
"106",-5.132148e-19
"107",-5.011117e-19
"108",-4.89294e-19
"109",-4.777551e-19
"110",-4.664883e-19
"111",-4.554871e-19
"112",-4.447454e-19
"113",-4.342571e-19
"114",-4.24016e-19
"115",-4.140165e-19
"116",-4.042528e-19
"117",-3.947194e-19
"118",-3.854108e-19
"119",-3.763217e-19
"120",1.239495e-07
"121",3.162249e-07
"122",5.325746e-07
"123",7.605405e-07
"124",9.895101e-07
"125",1.217715e-06
"126",1.367824e-06
"127",1.378873e-06
"128",1.404168e-06
"129",1.438323e-06
"130",1.476832e-06
"131",1.513763e-06
"132",1.548913e-06
"133",1.580191e-06
"134",1.606125e-06
"135",1.618111e-06
"136",1.620964e-06
"137",1.618712e-06
"138",1.611597e-06
"139",1.536309e-06
"140",1.352896e-06
"141",1.194217e-06
"142",1.053154e-06
"143",9.244785e-07
"144",8.171283e-07
"145",7.131575e-07
"146",6.088184e-07
"147",4.999093e-07
"148",2.575347e-07
"149",1.010743e-24
"150",9.869068e-25
"151",9.636327e-25
"152",9.409075e-25
"153",9.187182e-25
"154",8.970522e-25
"155",8.758972e-25
"156",8.55241e-25
"157",8.35072e-25
"158",8.153786e-25
"159",7.961496e-25
"160",7.773742e-25
"161",7.590414e-25
"162",7.411411e-25
"163",7.236629e-25
"164",7.065968e-25
"165",6.899332e-25
"166",6.736626e-25
"167",6.577758e-25
"168",6.422635e-25
"169",9.459384e-08
"170",1.582365e-07
"171",2.239231e-07
"172",2.907321e-07
"173",3.575816e-07
"174",4.937789e-07
"175",6.832698e-07
"176",9.293516e-07
"177",1.275871e-06
"178",1.741257e-06
"179",2.315564e-06
"180",3.037203e-06
"181",3.903327e-06
"182",4.913639e-06
"183",6.104558e-06
"184",7.489169e-06
"185",9.127597e-06
"186",1.110746e-05
"187",1.274408e-05
"188",1.438605e-05
"189",1.640781e-05
"190",1.879655e-05
"191",2.102014e-05
"192",2.235439e-05
"193",2.358662e-05
"194",2.456865e-05
"195",2.51674e-05
"196",2.167775e-05
"197",1.708595e-05
"198",1.121564e-05
"199",4.037522e-06
"200",8.639479e-07
"201",-2.073823e-16
"202",-8.998233e-20
"203",1.153572e-27
"204",1.126368e-27
